timestamp,cpu_avg_percent,cpu_peak_percent,ram_used_mb,ram_percent,disk_used_mb,disk_growth_mb,gpu_utilization_percent,gpu_memory_used_mb,gpu_temperature_c
2026-07-06T14:47:29+00:00,40.6,40.6,6964.625,86.8,456274.5625,29.83203125,,,
2026-07-06T14:47:31+00:00,46.2,46.2,6947.8984375,86.6,456274.60546875,29.875,,,
2026-07-06T14:47:33+00:00,37.2,37.2,6931.76953125,86.4,456274.66796875,29.9375,,,
2026-07-06T14:47:35+00:00,44.1,44.1,6949.7265625,86.6,456274.83984375,30.109375,,,
2026-07-06T14:47:37+00:00,42.2,42.2,6940.77734375,86.5,456274.8828125,30.15234375,,,
2026-07-06T14:47:39+00:00,49.0,49.0,6953.22265625,86.6,456275.1015625,30.37109375,,,
2026-07-06T14:47:41+00:00,47.6,47.6,6950.96875,86.6,456275.11328125,30.3828125,,,
2026-07-06T14:47:43+00:00,39.2,39.2,6952.984375,86.6,456275.14453125,30.4140625,,,
2026-07-06T14:47:45+00:00,45.8,45.8,6964.32421875,86.8,456275.390625,30.66015625,,,
2026-07-06T14:47:47+00:00,36.4,36.4,6965.15625,86.8,456275.5234375,30.79296875,,,
2026-07-06T14:47:49+00:00,44.0,44.0,6933.40234375,86.4,456275.8046875,31.07421875,,,
2026-07-06T14:47:51+00:00,38.4,38.4,6942.56640625,86.5,456275.8125,31.08203125,,,
2026-07-06T14:47:53+00:00,33.3,33.3,6941.98046875,86.5,456275.84375,31.11328125,,,
2026-07-06T14:47:55+00:00,54.8,54.8,7011.15625,87.4,456276.046875,31.31640625,,,
2026-07-06T14:47:57+00:00,56.1,56.1,6976.328125,86.9,456276.26171875,31.53125,,,
2026-07-06T14:47:59+00:00,41.8,41.8,6977.2109375,86.9,456276.37109375,31.640625,,,
2026-07-06T14:48:01+00:00,54.3,54.3,6994.23046875,87.1,456276.45703125,31.7265625,,,
2026-07-06T14:48:03+00:00,46.9,46.9,6998.25,87.2,456276.48828125,31.7578125,,,
2026-07-06T14:48:05+00:00,47.8,47.8,7016.3984375,87.4,456276.703125,31.97265625,,,
2026-07-06T14:48:07+00:00,43.2,43.2,6993.515625,87.1,456276.74609375,32.015625,,,
2026-07-06T14:48:09+00:00,34.8,34.8,7011.72265625,87.4,456276.80859375,32.078125,,,
2026-07-06T14:48:11+00:00,49.0,49.0,7022.1171875,87.5,456277.00390625,32.2734375,,,
2026-07-06T14:48:13+00:00,52.4,52.4,7061.05859375,88.0,456277.09765625,32.3671875,,,
2026-07-06T14:48:15+00:00,48.1,48.1,7060.01953125,88.0,456277.25390625,32.5234375,,,
2026-07-06T14:48:17+00:00,50.3,50.3,7074.32421875,88.1,456277.32421875,32.59375,,,
2026-07-06T14:48:19+00:00,38.4,38.4,7058.1015625,87.9,456277.35546875,32.625,,,
2026-07-06T14:48:21+00:00,46.0,46.0,7073.06640625,88.1,456277.6015625,32.87109375,,,
2026-07-06T14:48:23+00:00,40.7,40.7,7053.9609375,87.9,456277.6171875,32.88671875,,,
2026-07-06T14:48:25+00:00,37.8,37.8,7016.76171875,87.4,456277.796875,33.06640625,,,
2026-07-06T14:48:27+00:00,36.3,36.3,7008.14453125,87.3,456277.8671875,33.13671875,,,
2026-07-06T14:48:29+00:00,33.5,33.5,7020.66796875,87.5,456277.8984375,33.16796875,,,
2026-07-06T14:48:31+00:00,62.3,62.3,7211.6796875,89.9,456278.31640625,33.5859375,,,
2026-07-06T14:48:33+00:00,48.9,48.9,7305.89453125,91.0,456278.43359375,33.703125,,,
2026-07-06T14:48:35+00:00,44.2,44.2,7365.1484375,91.8,456278.50390625,33.7734375,,,
2026-07-06T14:48:37+00:00,34.7,34.7,7360.98046875,91.7,456278.54296875,33.8125,,,
2026-07-06T14:48:39+00:00,36.1,36.1,7347.91015625,91.6,456278.60546875,33.875,,,
2026-07-06T14:48:41+00:00,45.7,45.7,7354.9609375,91.6,456278.62890625,33.8984375,,,
2026-07-06T14:48:43+00:00,56.7,56.7,7179.64453125,89.5,456278.6484375,33.91796875,,,
2026-07-06T14:48:45+00:00,68.6,68.6,6821.453125,85.0,456278.703125,33.97265625,,,
2026-07-06T14:48:47+00:00,43.9,43.9,6638.29296875,82.7,456278.82421875,34.09375,,,
2026-07-06T14:48:49+00:00,39.1,39.1,6690.1953125,83.4,456278.8984375,34.16796875,,,
2026-07-06T14:48:51+00:00,37.0,37.0,6697.921875,83.5,456278.9296875,34.19921875,,,
2026-07-06T14:48:53+00:00,39.9,39.9,6715.078125,83.7,456278.96875,34.23828125,,,
2026-07-06T14:48:55+00:00,59.9,59.9,6730.8515625,83.9,456279.0,34.26953125,,,
2026-07-06T14:48:57+00:00,70.4,70.4,6734.53125,83.9,456279.4609375,34.73046875,,,
2026-07-06T14:48:59+00:00,33.0,33.0,6735.3359375,83.9,456279.49609375,34.765625,,,
2026-07-06T14:49:01+00:00,43.9,43.9,6773.59765625,84.4,456280.45703125,35.7265625,,,
2026-07-06T14:49:03+00:00,94.2,94.2,7162.82421875,89.2,456278.59375,33.86328125,,,
2026-07-06T14:49:05+00:00,100.0,100.0,7159.89453125,89.2,456279.875,35.14453125,,,
2026-07-06T14:49:07+00:00,100.0,100.0,7228.546875,90.1,456278.890625,34.16015625,,,
2026-07-06T14:49:09+00:00,100.0,100.0,7403.2265625,92.2,456272.90625,28.17578125,,,
2026-07-06T14:49:12+00:00,99.2,99.2,7493.09375,93.4,456273.10546875,28.375,,,
2026-07-06T14:49:14+00:00,100.0,100.0,7432.9609375,92.6,456273.0390625,28.30859375,,,
2026-07-06T14:49:16+00:00,100.0,100.0,7542.5390625,94.0,456273.0390625,28.30859375,,,
2026-07-06T14:49:18+00:00,100.0,100.0,7473.8515625,93.1,456273.296875,28.56640625,,,
2026-07-06T14:49:20+00:00,100.0,100.0,7171.90234375,89.4,456274.5703125,29.83984375,,,
2026-07-06T14:49:22+00:00,100.0,100.0,7411.66796875,92.3,456276.15625,31.42578125,,,
2026-07-06T14:49:24+00:00,100.0,100.0,7260.04296875,90.5,456282.3515625,37.62109375,,,
2026-07-06T14:49:26+00:00,100.0,100.0,7333.39453125,91.4,456282.609375,37.87890625,,,
2026-07-06T14:49:28+00:00,100.0,100.0,7262.75390625,90.5,456282.73828125,38.0078125,,,
2026-07-06T14:49:30+00:00,100.0,100.0,7288.4609375,90.8,456283.36328125,38.6328125,,,
2026-07-06T14:49:32+00:00,99.9,99.9,7311.9375,91.1,456282.2734375,37.54296875,,,
2026-07-06T14:49:34+00:00,100.0,100.0,7335.84765625,91.4,456267.89453125,23.1640625,,,
2026-07-06T14:49:36+00:00,100.0,100.0,7386.1484375,92.0,456256.65234375,11.921875,,,
2026-07-06T14:49:38+00:00,100.0,100.0,7389.78515625,92.1,456256.8046875,12.07421875,,,
2026-07-06T14:49:40+00:00,100.0,100.0,7356.9140625,91.7,456256.89453125,12.1640625,,,
2026-07-06T14:49:42+00:00,100.0,100.0,7459.953125,92.9,456256.98046875,12.25,,,
2026-07-06T14:49:44+00:00,95.6,95.6,7443.6328125,92.7,456248.94921875,4.21875,,,
2026-07-06T14:49:46+00:00,100.0,100.0,7312.52734375,91.1,456249.015625,4.28515625,,,
2026-07-06T14:49:49+00:00,100.0,100.0,7310.6015625,91.1,456241.45703125,-3.2734375,,,
2026-07-06T14:49:51+00:00,98.3,98.3,7161.5,89.2,456240.81640625,-3.9140625,,,
2026-07-06T14:49:53+00:00,99.6,99.6,7038.4375,87.7,456240.86328125,-3.8671875,,,
2026-07-06T14:49:55+00:00,98.0,98.0,7028.28515625,87.6,456240.86328125,-3.8671875,,,
2026-07-06T14:49:57+00:00,99.2,99.2,7036.2734375,87.7,456240.89453125,-3.8359375,,,
2026-07-06T14:49:59+00:00,100.0,100.0,7129.05078125,88.8,456240.8515625,-3.87890625,,,
2026-07-06T14:50:01+00:00,100.0,100.0,7278.95703125,90.7,456240.87890625,-3.8515625,,,
2026-07-06T14:50:03+00:00,100.0,100.0,7410.2265625,92.3,456240.89453125,-3.8359375,,,
2026-07-06T14:50:05+00:00,100.0,100.0,7353.046875,91.6,456240.91796875,-3.8125,,,
2026-07-06T14:50:08+00:00,100.0,100.0,7351.01953125,91.6,456240.1640625,-4.56640625,,,
2026-07-06T14:50:10+00:00,100.0,100.0,7403.91796875,92.3,456240.43359375,-4.296875,,,
2026-07-06T14:50:12+00:00,100.0,100.0,7464.234375,93.0,456240.4375,-4.29296875,,,
2026-07-06T14:50:14+00:00,100.0,100.0,7480.66015625,93.2,456241.06640625,-3.6640625,,,
2026-07-06T14:50:16+00:00,100.0,100.0,7504.66796875,93.5,456241.18359375,-3.546875,,,
2026-07-06T14:50:18+00:00,100.0,100.0,7314.69921875,91.1,456241.06640625,-3.6640625,,,
2026-07-06T14:50:20+00:00,100.0,100.0,7299.37109375,90.9,456242.078125,-2.65234375,,,
2026-07-06T14:50:22+00:00,100.0,100.0,7397.0078125,92.2,456238.14453125,-6.5859375,,,
2026-07-06T14:50:24+00:00,99.8,99.8,7397.33203125,92.2,456238.2890625,-6.44140625,,,
2026-07-06T14:50:26+00:00,96.4,96.4,7424.19921875,92.5,456238.3125,-6.41796875,,,
2026-07-06T14:50:29+00:00,96.3,96.3,7371.859375,91.9,456238.3125,-6.41796875,,,
